Seq,DateListed,年度,類別,項目別,總計,民意代表_主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農_林_漁_牧業生產人員,技藝有關工作人員,機械設備操作及組裝人員,基層技術工及勞力工,其他,沒有換過工作,樣本數_人,母體數_人
75,"20230401","105","年齡","60 ~ 64歲","99.9999999999996","0.988631168349945","7.82773976478115","4.76088400712374","2.68720971017396","10.1981103899762","14.2349439886089","4.95366779102498","1.60267758932008","26.9604720970121","4.18104914804674","21.6046143455819","",""
76,"20230401","105","年齡","65歲及以上","100","0","4.86128888267811","4.40206602641176","0","3.10787941605554","22.4073291120535","1.19100341307334","5.53415928394662","31.9973444342732","7.55371637235505","18.9452130591531","",""
77,"20230401","105","教育程度","不識字","100","0","0","8.63506944411004","0","0","24.2445655463794","0","2.69055784215026","37.981551110795","5.6677191391282","20.7805369174371","",""
78,"20230401","105","教育程度","自修","100","0","16.6016181882589","0","0","0","13.8255370730732","0","0","52.2937331834305","0","17.2791115552373","",""
79,"20230401","105","教育程度","國小","100","0","1.78357927443312","3.39002822867967","0.631113347080342","5.57131576302838","13.6179874000215","7.12587418601621","4.98295760539766","37.3678314062858","4.15456585662971","21.3747469324276","",""
80,"20230401","105","教育程度","國初中","100","0.103679180966782","1.46649632878599","3.89177851435626","0.537827268032752","11.3676369709134","6.78641586161591","7.35269595429189","6.43811281017845","41.006924788175","3.07903662773983","17.969395694944","",""
81,"20230401","105","教育程度","高中","100.000000000001","0.121355531693089","3.8658861277283","5.756238425779","1.63861754086488","19.6484015641669","2.84570543424155","3.88277086512466","4.52609978518485","26.5809596803251","7.46619137964924","23.667773665243","",""
82,"20230401","105","教育程度","高職","100.000000000001","0.264633820899182","5.1289276479762","6.12919975211755","3.03588607943622","24.3679918683118","1.71221594132154","5.98471692096249","4.68893814642183","24.9547467330462","5.72908987972153","18.0036532097863","",""
83,"20230401","105","教育程度","專科","100","0.423207943713887","17.6922940566104","12.6953073490401","5.79362575969967","14.8125989575999","1.86960496536701","3.5014859061082","3.26453643213208","11.1561372080522","8.63803933328207","20.1531620883944","",""
84,"20230401","105","教育程度","大學","100","0.986599422251811","11.5898244366222","10.0173183581669","9.83225021943364","19.3293056664687","0.551480745903888","2.33713069700709","1.7396977328371","10.5803231575212","6.18644072677133","26.8496288370164","",""
85,"20230401","105","教育程度","研究所以上","100","2.91707849249871","42.1085476069502","2.57526005576289","7.42157673825364","8.23054005589454","1.62446041690127","1.57148210342127","0","1.087790482662","13.0576402896425","19.4056237580129","",""
86,"20230401","105","婚姻狀況","有配偶","100","0.548547319229327","7.81271605583402","7.16633702140623","3.03588653268651","13.0956447366917","5.38665043010445","5.12011204451034","4.3497455765951","27.6242361810131","6.87768559814339","18.9824385037858","",""
87,"20230401","105","婚姻狀況","未婚","100.000000000001","0.136062187136124","5.24202539509934","5.87719486728986","4.28255798880024","23.3354775008439","1.46001097183163","4.78545406009799","3.97930071664161","20.3632539607446","4.69943245231684","25.8392298991985","",""
88,"20230401","105","婚姻狀況","離婚","99.9999999999998","0","3.72979926748486","5.84445667665163","2.33407355058631","15.9930709500622","4.38443579963703","4.66949703242797","5.31112969773897","32.4562194508085","5.07610069394499","20.2012168806573","",""
89,"20230401","105","婚姻狀況","喪偶","99.9999999999999","0","4.19960671445474","0.475635044831752","2.73916253858392","9.38387570478948","11.0638244366313","5.04789824360904","4.62898209195448","36.8025657758364","4.54198049823472","21.1164689510741","",""
90,"20230401","106","總計","-","99.999999999997","0.145677657680574","7.75368788683356","4.96066978647726","5.86791323210995","24.6373727428483","6.70827453865058","17.246543978317","13.7560911111209","16.5189563221706","2.40481274378829","","28985.9717949819","248676.461122412"
91,"20230401","106","性別","男","99.9999999999993","0.154989620076275","3.8632071027808","4.27779761864037","2.88948764872529","15.7463384790347","8.5201049898664","26.6536392902457","16.3346727021598","17.2001389113354","4.3596236371345","","15420.5741519573","132297.179049921"
92,"20230401","106","性別","女","99.9999999999998","0.135092041972771","12.1762932141082","5.73694250313045","9.25371606294824","34.7444874370792","4.64862909880962","6.55278345102106","10.8248213492748","15.7446042780654","0.182630563590021","","13565.3976430254","116379.282072483"
93,"20230401","106","年齡","15 ~ 19歲","100","0","2.08308135224275","1.17812634496015","2.53033159947479","53.3013666414106","2.96629420972615","14.3256332653158","4.46521369938727","19.0442446838498","0.105708203633065","","818.392662506614","7017.03718476257"
94,"20230401","106","年齡","20 ~ 24歲","100.000000000001","0","8.39602660305976","5.68333051866943","6.93824449538264","46.3631880751119","1.31275565235304","12.1533138999453","7.05022844968901","11.3848125493384","0.718099756451459","","2909.22259272875","24958.9535123851"
95,"20230401","106","年齡","25 ~ 29歲","99.9999999999985","0.126626728247653","10.6201671397755","7.65705941131284","9.63066746561618","34.2514605809775","2.58649517945458","9.49396458478632","10.8736922188977","11.4520876536834","3.30777903724681","","3775.03134001908","32389.8028712276"
96,"20230401","106","年齡","30 ~ 34歲","100","0.0396794805777263","10.1593474186089","6.92259464402993","7.79263497046862","27.4749828549296","3.3830519479117","14.3226607779808","14.5820831951426","12.9196342343833","2.4033304759672","","3611.65743760245","30986.2157069288"
97,"20230401","106","年齡","35 ~ 39歲","99.9999999999999","0.0488534336351681","9.91103769681179","5.79734893114018","6.13131984359046","21.6897041663823","3.99251670327782","18.8025692087415","15.8789794150478","15.4013793002467","2.34629130112615","","3975.56100725478","34112.0140917137"
98,"20230401","106","年齡","40 ~ 44歲","100.000000000001","0.222239113883985","8.4023566759435","4.87213938435122","6.05694023128517","20.8799300253878","5.41215397876928","19.0631766015722","13.8337623041633","18.0488823176055","3.20841936703937","","3559.98865103382","30532.6938683857"
99,"20230401","106","年齡","45 ~ 49歲","99.9999999999999","0.291417465926937","7.49907797481839","4.27003006286794","5.37625080563647","17.8457490923132","6.86247295400258","20.2800005207057","16.0624030310415","18.5376559476775","2.97494214500955","","3357.54684198488","28802.5823342789"
100,"20230401","106","年齡","50 ~ 54歲","99.9999999999995","0.212423480783092","4.36942781081805","3.00934076364196","2.97794898024889","14.1363357011153","9.1897557618595","24.3765810255513","17.8063325245474","21.4622299583285","2.4596239931056","","2972.34533408606","25500.554219514"
101,"20230401","106","年齡","55 ~ 59歲","99.9999999999996","0.22444887947332","3.34051967849763","2.46144682607539","3.20465211906415","12.1679277989279","14.7149621074805","22.2937604312899","17.650865985671","21.516624861846","2.42479131167374","","2236.95673256164","19191.8346104968"
102,"20230401","106","年齡","60 ~ 64歲","99.9999999999993","0.279859934611707","3.92846093624563","1.62992113441226","2.25310261287374","10.056474315217","21.3607254146443","21.1624605317155","13.8682248003006","23.9607085565433","1.50006176343523","","1239.20380576501","10635.1016114316"
103,"20230401","106","年齡","65歲及以上","100","0.296550701486419","3.79450525493149","2.230626543105","0.998907321197802","9.32638703440873","40.2192772251697","11.3282681329473","9.33657057488644","20.5234004247797","1.94550678708759","","530.065389439823","4549.67111127877"
104,"20230401","106","教育程度","小學及以下","99.9999999999993","0","0.335180312057884","0.307202460278194","0.248000838931887","9.57154095513273","21.7605649668506","22.8585616308974","14.2004158309865","30.4394136044054","0.279119400458658","","2933.30188193989","25186.0668209406"
105,"20230401","106","教育程度","國(初)中","100","0.0338974624900713","0.782006197271058","1.07645418045731","0.525630727306422","16.2192111202267","9.27161871699268","28.8847560183394","17.0432392304341","25.7142857298214","0.44890061666132","","6140.95480318334","52672.0161383316"
106,"20230401","106","教育程度","高級中等(高中、高職)","100","0.118658047508077","2.51685931473422","3.25626794159989","4.73106418396003","29.6992619188276","5.13996161628471","17.5614108183339","17.1213971810347","15.9405885790204","3.9145303986966","","12107.9709400446","103873.270471118"
107,"20230401","106","教育程度","專科","100","0.477822130247228","23.4814847769752","10.8666339615894","10.5522926785833","30.4918697769792","1.98150879494285","6.61157658172677","5.89225742060466","5.2441665291796","4.4003873491719","","2244.5871799139","19257.7561910922"
108,"20230401","106","教育程度","大學及以上","100","0.270805040108838","24.4277107812656","13.0361482867071","15.3213606675137","28.5023626234624","1.25207293297904","5.03673645331922","5.73599658887002","4.82331823920167","1.59348838657286","","5559.15698990126","47687.3515009196"
109,"20230401","106","婚姻狀況","未婚","100","0.106584857086692","8.8134921339343","6.3501402274022","7.72950767803091","34.5094501736492","3.25390312235544","14.1248179641821","9.98089228505435","13.3862918281189","1.74491973018622","","10365.3166693062","88928.1335853862"
110,"20230401","106","婚姻狀況","有配偶","100.000000000001","0.188219035327228","7.56709365988308","4.52338532163037","5.1964738699444","18.5439937654046","8.78836041667033","19.0014984890449","16.1419618212741","17.1637705316598","2.88524308916174","","15411.8576597152","132211.230471968"
111,"20230401","106","婚姻狀況","離婚或分居","100","0.0924241628328922","5.65901381173847","2.84247693071638","3.67385248011043","23.899682275539","5.1984597506667","20.7719947633783","14.2188041531704","20.9666383222553","2.67665334959211","","2349.87609985244","20162.9276527176"
112,"20230401","106","婚姻狀況","喪偶","99.9999999999999","0","4.04590766707177","1.83623295484392","1.45553737229233","16.8509651546173","15.2004005231657","13.7886852039682","15.2413883664898","30.5750527253414","1.00583003220942","","858.921366109218","7374.16941232908"
113,"20230401","106","個人每月收入","未滿1萬元","100","0","2.91480119035341","1.42827745921193","3.61005982601814","25.2039116010507","18.7535750464605","11.3148517240169","10.9936169602876","24.6414229786428","1.13948321395806","","930.803914036471","7976.91249217853"
114,"20230401","106","個人每月收入","1萬元 ~ 未滿2萬元","99.9999999999997","0","2.54998436982686","1.82339611347087","2.21630171877561","26.3156119366055","15.3514067147582","12.7964998466398","10.7226526612878","27.3830868950644","0.841059743570661","","3262.73142322148","27973.5026242376"
115,"20230401","106","個人每月收入","2萬元 ~ 未滿3萬元","100","0.0200638953019959","4.14367908650979","3.36848905241381","6.2321038937162","31.513232071798","6.40458836706246","13.7910856838606","12.9965227538721","19.6716662600038","1.85856893546135","","11346.0205410735","97363.2698116598"
116,"20230401","106","個人每月收入","3萬元 ~ 未滿4萬元","99.9999999999999","0.0519973733496338","10.1982579736555","6.78725881263465","6.93329081655664","19.2095544481943","4.51263482141712","22.7538000662552","14.4297912763665","12.0970129139493","3.02640149762108","","8195.28012841303","70314.1146423339"
117,"20230401","106","個人每月收入","4萬元 ~ 未滿5萬元","100","0.429435559566809","14.3419272895225","7.2638153249562","6.62858866537551","13.7385897571534","3.4783670996604","24.4643439317551","17.4187132760685","9.36378395707449","2.87243513886722","","3034.41835227345","26034.9179037476"
118,"20230401","106","個人每月收入","5萬元 ~ 未滿6萬元","100","0.567539517913728","16.1858931130799","8.48814981555348","6.50850974412287","19.6227780219795","3.85968494899303","16.6100118078354","16.4522257107535","7.62668517014451","4.07852214962442","","1299.05630012832","11145.9483733142"
119,"20230401","106","個人每月收入","6萬元 ~ 未滿7萬元","99.9999999999999","1.49582930559958","17.441395148633","11.6748484417844","3.91984577006877","23.544352967041","1.70200251302523","10.9301363775349","15.8911752934179","6.69298869264764","6.70742549024753","","534.374670282295","4582.05775022045"
120,"20230401","106","個人每月收入","7萬元及以上","100","1.90039144935868","24.1265817696925","8.74548944743309","3.37158296422112","26.2632051766904","2.11075197209287","7.87970386979561","13.2302864776289","6.09048299136426","6.28152388172285","","383.286465554362","3285.73752471018"
121,"20230401","108","總計","-","100","0.356485795982957","8.07793536996364","5.50630331264836","6.11201113307357","27.4678136405208","4.39039386909965","15.2747272869205","13.0354876357542","16.2134057548507","3.56543620118559","","28236.1881145839","259407.25"
122,"20230401","108","性別","男","100","0.393503060272748","4.11347752580582","5.0669727859244","2.63291996195585","19.0756081452742","5.77855288743678","23.4801197250078","15.2721131611045","18.4687046409078","5.71802810631021","","14793.5586796913","135894.75"
123,"20230401","108","性別","女","100","0.315757514421617","12.4398340248963","5.98967715818237","9.93988462706204","36.7013460176096","2.86307053941909","6.24673616030766","10.5746381945147","13.7320109300678","1.19704483351887","","13442.6294348924","123512.5"
124,"20230401","108","年齡","15 ~ 24歲","100","0.15982735400542","6.02638368300638","4.80780152201074","6.56346849697383","50.8964935338883","1.58123610637849","9.11097048467442","6.06857161401288","13.0896169011342","1.69563030391536","","3351.84674071953","30814.5"
125,"20230401","108","年齡","15 ~ 19歲","100","0","1.68643870667597","1.22509110645887","2.94642164844537","60.8280995580368","2.078002636272","10.3318601225091","4.03582228425215","16.6782972784368","0.189966658912926","","701.534629286628","6448.5"
126,"20230401","108","年齡","20 ~ 24歲","100","0.202125913157679","7.17495690716572","5.75597143560699","7.52072560124764","48.2680784699992","1.44976606747107","8.78786013297217","6.60654190265124","12.1398670278257","2.09410654190265","","2650.31211143291","24366"
127,"20230401","108","年齡","25 ~ 34歲","100","0.407258675556903","11.1263070162146","7.68108804364298","8.45393241400212","34.109334747689","1.71427489013487","10.5497045006819","9.13358084558266","12.7375359903016","4.08698287619336","","7181.29927955121","65990"
128,"20230401","108","年齡","25 ~ 29歲","100","0.326564789616914","12.2538552787663","7.77475402972577","8.73839927430047","36.3980182820459","1.30835252250366","10.3300537296769","7.55355522992115","11.3348684669597","3.98157839648315","","3897.52249076213","35827.5"
129,"20230401","108","年齡","30 ~ 34歲","100","0.503108164111065","9.78698715292167","7.5698300870286","8.1160381268131","31.3907998342312","2.19643597181931","10.8106092001658","11.0103605470369","14.403646912557","4.21218400331538","","3283.77678878912","30162.5"
130,"20230401","108","年齡","35 ~ 44歲","100","0.349370219024032","9.24129958404823","5.92868457539629","6.24769068114389","25.1711182407838","2.5337572114769","15.8573837841002","13.935664663123","16.2722380546481","4.46279298625567","","7439.00403212943","68337.25"
131,"20230401","108","年齡","35 ~ 39歲","100","0.306729351160102","9.50376314678003","6.22044354587439","6.7674326822547","26.5725937670934","1.89022828141552","14.9729621192713","13.3216088404523","16.4304458307657","4.01379243493253","","3929.64831367694","36106.75"
132,"20230401","108","年齡","40 ~ 44歲","100","0.397139355579343","8.9472704425932","5.60183676951955","5.66544111943656","23.6010921332278","3.25468112502133","16.8481717627713","14.6235708412839","16.0950031802175","4.96579327034951","","3509.35571845226","32230.5"
133,"20230401","108","年齡","45 ~ 54歲","100","0.373604549158611","6.6799068437763","4.55093980023957","5.50254042187479","20.3077895880553","5.23892433951258","19.0404730839965","17.0112526662184","18.2180087189238","3.07655998824415","","6111.76253451712","56142.25"
134,"20230401","108","年齡","45 ~ 49歲","100","0.428600412538464","7.16785581442532","4.95806986102188","5.99702431271768","23.123288134447","4.10763196158658","18.7544381699523","15.9241537889291","17.0121394515267","2.52679809285497","","3218.31207756378","29573"
135,"20230401","108","年齡","50 ~ 54歲","100","0.312391204117542","6.13679347365846","4.09778221063824","4.95215333515248","17.1739887275704","6.49811342058959","19.3588452816696","18.2212520112536","19.5602058770948","3.68847445825531","","2893.45045695342","26569.25"
136,"20230401","108","年齡","55 ~ 64歲","100","0.460588939724261","4.33798016396966","2.95237510363251","2.37970952190868","11.8532563638039","10.9512696901772","23.4908035741702","18.8012405195443","21.4289004206712","3.34387570239813","","3546.57818491783","32567"
137,"20230401","108","年齡","55 ~ 59歲","100","0.533794818046652","4.6481585297487","2.97121407853365","2.46179345309187","12.332122748434","9.8313305871743","23.2346991005923","19.4420747312745","20.9630243498184","3.58178760328564","","2234.36119679673","20513.5"
138,"20230401","108","年齡","60 ~ 64歲","100","0.33600199112291","3.81009665242461","2.92031360185838","2.24001327415274","11.0382876342971","12.8572613763637","23.9266603061351","17.7106234703613","22.2217613141411","2.93898037914299","","1312.21698812113","12053.5"
139,"20230401","108","年齡","65歲及以上","100","0.148481439820022","4.98987626546682","2.97862767154106","2.15973003374578","10.7716535433071","27.5590551181102","12.2024746906637","12.9763779527559","23.2710911136108","2.94263217097863","","605.697342748448","5556.25"
140,"20230401","108","教育程度","小學及以下","100","0","0.29633691026344","0.422965457820945","0.176235607425394","11.3339077308686","16.5818124853137","22.7709459283047","17.4407978903945","29.5501422939349","1.42685569567374","","2092.76030041624","19150.5"
141,"20230401","108","教育程度","國(初)中","100","0.0529589516204401","0.484937851112657","1.5887685486132","0.784000166145731","18.2474740656899","7.68424003904425","25.0495841164682","18.8196384253538","25.703263725195","1.5851341107569","","5239.9004913375","48150.5"
142,"20230401","108","教育程度","高級中等(高中、高職)","100","0.248751787137951","2.5877312144521","3.52149687557066","3.77225292957006","31.2044307659417","3.39767772279653","17.1865883369484","15.4629188361","17.6005807919972","5.01757073948539","","12218.6175160166","112260.5"
143,"20230401","108","教育程度","專科","100","0.901111487710522","21.3952618599596","11.1511085658185","8.7224319491357","32.3722256635617","1.75079767651149","6.97514054300441","5.7444396395554","5.63808277135611","5.34939984338659","","2325.8369828459","21390.25"
144,"20230401","108","教育程度","大學及以上","100","0.730897862476585","22.5521978256965","12.1447083679038","15.9835259299809","31.3777146718444","0.555550803602741","4.13263080462916","4.83401904012454","5.23304051800087","2.45571417574052","","6359.07282396727","58455.5"
145,"20230401","108","婚姻狀況","未婚","100","0.32718869807258","9.4270258914973","6.33580169108765","8.09831416417205","37.0353447823119","2.17110445879943","11.5083241426396","8.57439210125519","13.5541725749698","2.96833149519458","","10364.1211785571","95205"
146,"20230401","108","婚姻狀況","有配偶","100","0.446108928485307","8.13161048105567","5.44067400474118","5.26315789473684","21.3069414920257","5.52618594487911","17.4186523615022","15.7132363579704","16.6896677091333","4.06376482547032","","14671.2641052692","134776.5"
147,"20230401","108","婚姻狀況","離婚或分居","100","0.0555195706486536","3.43643009160729","3.24558156750254","4.02632552974924","25.7460442305913","4.82788933098917","18.304108448228","15.5905894327751","20.669473489405","4.09803830850375","","2350.99905936691","21614"
148,"20230401","108","婚姻狀況","喪偶","100","0","3.55234102473838","2.78426728965981","2.32022274138317","21.9221045220341","10.6314206163792","15.806317406471","14.1357570326751","28.0762953243511","0.771274042308062","","849.803771390404","7811.75"
149,"20230401","108","個人每月收入","未滿1萬元","100","0","2.75714152497591","4.36417891890212","5.49563271269155","35.1994031892077","9.01432967579497","10.9726150881228","9.2878679556122","20.1765565260638","2.73227440862889","","873.688742621998","8042.75"
150,"20230401","108","個人每月收入","1萬元 ~ 未滿2萬元","100","0","3.31061884045103","2.6857853147474","3.22072272041197","30.7611204829974","11.6343336588831","14.2868241143567","11.1959513451123","21.4940513184764","1.41059220456362","","2455.70543576415","22526"
151,"20230401","108","個人每月收入","2萬元 ~ 未滿3萬元","100","0.100749323090485","3.73769493944546","3.73821967550322","6.63476271435468","34.9901874357198","3.92764939235565","11.4715173267846","11.893405117226","20.5226895871377","2.98312448838234","","10374.1187425828","95286"
